country,first_subdivision,latitude,longitude,project_category,project_type,vintage_year,nft_age,num_owners,avg_price,last_price,num_price_chg,nft_state
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,20,1,25.08624260483411,22.38371737919856,2,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,BIOGAS,0,10,1,43.412785387593495,44.36419254561102,1,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,WATER,0,16,2,41.89261579825226,43.16770308318917,1,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,13,2,29.24743971669902,29.29705720544101,2,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,COOK_STV,0,17,1,24.898940219745683,28.826758031422642,2,N/A
RWA,N/A,-1.9646631,30.0644358,FOREST_CONSERV,AGG_LAND_MGMT,0,13,2,35.05069598002943,34.51878419673939,2,N/A
FRA,N/A,46.603354,1.8883335,COMM_ENRGY_EFF,COOK_STV,0,23,3,35.974901379580814,35.96856432415732,1,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,BIOGAS,0,11,2,42.776158994342595,42.75594735054509,1,N/A
GIN,N/A,10.7226226,-10.7083587,RENEW_ENERGY,WIND,0,20,4,24.239515883510478,25.003146970457678,1,N/A
HND,N/A,15.2572432,-86.0755145,WASTE_MGMT,EMM_RED,0,10,1,19.896541164356982,20.6032382317518,1,N/A
RWA,N/A,-1.9646631,30.0644358,FOREST_CONSERV,AGG_LAND_MGMT,0,16,2,35.15518101688382,34.016753177572376,0,N/A
KHM,N/A,12.5433216,104.8144914,WASTE_MGMT,EMM_RED,0,19,2,18.211737520436717,16.852870417112037,2,N/A
IND,N/A,22.3511148,78.6677428,COMM_ENRGY_EFF,BIOGAS,0,22,2,24.036618197240628,24.552996987243446,1,N/A
USA,N/A,39.7837304,-100.445882,FOREST_CONSERV,AGG_LAND_MGMT,0,18,4,33.38888546646536,29.848144297285465,1,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,BIOGAS,0,11,2,49.211130416268595,45.035159304591765,2,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,WATER,0,17,2,42.78766253052367,39.82865627545209,4,N/A
HND,N/A,15.2572432,-86.0755145,RENEW_ENERGY,SOLAR,0,14,1,26.19464013616703,26.85684908044085,3,N/A
RWA,N/A,-1.9646631,30.0644358,FOREST_CONSERV,AGG_LAND_MGMT,0,15,1,33.08379532840355,35.73210318385818,0,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,BIOGAS,0,10,2,32.663538104059505,33.49153952671317,2,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,COOK_STV,0,21,3,44.66869927712503,45.68669602460723,0,N/A
GIN,N/A,10.7226226,-10.7083587,RENEW_ENERGY,HYDRO,0,14,3,28.001094501522605,31.797207949000235,1,N/A
ETH,N/A,10.2116702,38.6521203,RENEW_ENERGY,WIND,0,9,2,22.35827539570162,21.192545011074586,0,N/A
GBR,N/A,54.7023545,-3.2765753,COMM_ENRGY_EFF,COOK_STV,0,18,1,34.41445239312391,31.184856368907166,0,N/A
GBR,N/A,54.7023545,-3.2765753,COMM_ENRGY_EFF,BIOGAS,0,23,1,33.426772032413105,32.74258265755942,0,N/A
GIN,N/A,10.7226226,-10.7083587,RENEW_ENERGY,SOLAR,0,19,1,31.42407668199793,28.87280777057713,0,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,SOLAR,0,18,2,24.104814241131812,23.573649712480883,1,N/A
ETH,N/A,10.2116702,38.6521203,COMM_ENRGY_EFF,WATER,0,11,3,36.108649006819704,38.65091429724102,1,N/A
KHM,N/A,12.5433216,104.8144914,RENEW_ENERGY,WIND,0,12,2,23.42129510352326,26.03842698662355,2,N/A
BGR,N/A,42.6073975,25.4856617,FOREST_CONSERV,AGG_LAND_MGMT,0,12,3,31.15566054900149,31.5153720874433,2,N/A
PER,N/A,-6.8699697,-75.0458515,WASTE_MGMT,EMM_RED,0,13,2,19.317829512908347,22.229098516372385,0,N/A
ETH,N/A,10.2116702,38.6521203,RENEW_ENERGY,WIND,0,15,1,28.06021945559337,28.284590531099674,0,N/A
ETH,N/A,10.2116702,38.6521203,COMM_ENRGY_EFF,WATER,0,11,2,38.5248924261041,36.97654614735403,0,N/A
MOZ,N/A,-19.302233,34.9144977,WASTE_MGMT,EMM_RED,0,18,4,19.938878417143535,17.539474258831458,2,N/A
GIN,N/A,10.7226226,-10.7083587,RENEW_ENERGY,SOLAR,0,15,3,25.281914877632563,22.225578670347513,1,N/A
IDN,N/A,-2.4833826,117.8902853,FOREST_CONSERV,AGG_LAND_MGMT,0,14,1,31.309758853806198,27.534836581692176,2,N/A
GBR,N/A,54.7023545,-3.2765753,RENEW_ENERGY,HYDRO,0,20,4,27.71437698089081,26.802639504346526,0,N/A
NIC,N/A,12.6090157,-85.2936911,RENEW_ENERGY,SOLAR,0,9,2,26.308670998140936,26.59392909913145,0,N/A
USA,N/A,39.7837304,-100.445882,WASTE_MGMT,EMM_RED,0,20,4,21.508849330341675,19.569549274053543,0,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,BIOGAS,0,18,2,43.333289810110664,46.59754875625836,0,N/A
BGR,N/A,42.6073975,25.4856617,COMM_ENRGY_EFF,COOK_STV,0,17,2,32.35114484368778,33.501232262466075,0,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,WATER,0,17,1,45.933463851698384,48.61589243495792,1,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,COOK_STV,0,26,1,42.161636793614804,40.92301930251304,2,N/A
KHM,N/A,12.5433216,104.8144914,COMM_ENRGY_EFF,COOK_STV,0,13,2,23.35280843227584,23.700202852357755,3,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,WATER,0,19,5,23.91873517896679,20.65941273526898,0,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,WATER,0,23,2,42.78739866459012,45.382897125932736,1,N/A
IDN,N/A,-2.4833826,117.8902853,FOREST_CONSERV,AGG_LAND_MGMT,0,10,2,32.979653784167915,31.754496734376968,0,N/A
FRA,N/A,46.603354,1.8883335,WASTE_MGMT,EMM_RED,0,18,1,20.880222629313234,20.405066287038785,0,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,WATER,0,21,2,27.173926712850182,30.068191863119715,1,N/A
IND,N/A,22.3511148,78.6677428,COMM_ENRGY_EFF,BIOGAS,0,11,1,23.07931093904733,21.00393473579696,2,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,COOK_STV,0,18,3,26.110283163869713,24.52778851113602,1,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,BIOGAS,0,12,1,44.90909746716639,45.049283145122644,0,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,BIOGAS,0,20,2,46.03164827894628,44.122628298781876,0,N/A
ETH,N/A,10.2116702,38.6521203,WASTE_MGMT,EMM_RED,0,18,4,18.744675173078885,19.958224188130625,0,N/A
HND,N/A,15.2572432,-86.0755145,COMM_ENRGY_EFF,WATER,0,6,4,22.775756020231402,24.6058278028417,1,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,WATER,0,14,2,42.57666496331135,40.3665013505012,1,N/A
FRA,N/A,46.603354,1.8883335,WASTE_MGMT,EMM_RED,0,15,1,20.06046313598438,22.113514311245616,2,N/A
GBR,N/A,54.7023545,-3.2765753,RENEW_ENERGY,SOLAR,0,16,1,25.437354484518316,25.94668799625757,0,N/A
NIC,N/A,12.6090157,-85.2936911,RENEW_ENERGY,SOLAR,0,12,1,29.700354978275165,32.463094676792494,0,N/A
RWA,N/A,-1.9646631,30.0644358,RENEW_ENERGY,HYDRO,0,13,2,28.706522610889472,28.790448679122587,0,N/A
BGR,N/A,42.6073975,25.4856617,WASTE_MGMT,EMM_RED,0,15,1,15.612135813250758,16.180689842690075,2,N/A
GIN,N/A,10.7226226,-10.7083587,RENEW_ENERGY,SOLAR,0,10,1,25.39703402124757,24.454135589265064,2,N/A
BGR,N/A,42.6073975,25.4856617,RENEW_ENERGY,WIND,0,14,1,24.557393464357368,23.39544541776599,0,N/A
PER,N/A,-6.8699697,-75.0458515,WASTE_MGMT,EMM_RED,0,13,3,15.998056237487354,11.182640158247791,0,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,COOK_STV,0,21,3,26.101680786900605,22.51903289732382,0,N/A
GBR,N/A,54.7023545,-3.2765753,WASTE_MGMT,EMM_RED,0,12,1,22.359965507078574,24.485768856448086,2,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,HYDRO,0,13,2,25.207667539132288,28.098746880146003,0,N/A
GBR,N/A,54.7023545,-3.2765753,RENEW_ENERGY,SOLAR,0,15,2,26.1558245557645,27.63387474241979,2,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,COOK_STV,0,13,2,44.68263331490677,43.50068022361613,3,N/A
MOZ,N/A,-19.302233,34.9144977,WASTE_MGMT,EMM_RED,0,21,2,17.87790980006137,20.142275620433065,1,N/A
FRA,N/A,46.603354,1.8883335,WASTE_MGMT,EMM_RED,0,16,2,20.97969968635899,20.968672593928407,0,N/A
NIC,N/A,12.6090157,-85.2936911,WASTE_MGMT,EMM_RED,0,22,3,22.27809301562895,23.48929517681737,1,N/A
IND,N/A,22.3511148,78.6677428,COMM_ENRGY_EFF,WATER,0,12,2,27.064325273892546,31.13157626221091,0,N/A
IDN,N/A,-2.4833826,117.8902853,WASTE_MGMT,EMM_RED,0,16,1,19.232246319968276,20.361543363194244,2,N/A
BGR,N/A,42.6073975,25.4856617,RENEW_ENERGY,HYDRO,0,15,1,27.652789322433566,28.279638358125737,3,N/A
IDN,N/A,-2.4833826,117.8902853,FOREST_CONSERV,AGG_LAND_MGMT,0,16,2,29.93123204872828,29.719298802431837,1,N/A
IND,N/A,22.3511148,78.6677428,RENEW_ENERGY,SOLAR,0,14,2,24.23816699885474,24.860104882913816,2,N/A
USA,N/A,39.7837304,-100.445882,WASTE_MGMT,EMM_RED,0,19,4,18.247506629839133,15.338989932317341,1,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,SOLAR,0,21,2,28.46563330565881,29.914357286768745,0,N/A
HND,N/A,15.2572432,-86.0755145,COMM_ENRGY_EFF,BIOGAS,0,18,1,26.60863725477348,26.72252503909413,2,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,WIND,0,11,2,25.672823380995577,24.595660137306016,1,N/A
MOZ,N/A,-19.302233,34.9144977,COMM_ENRGY_EFF,WATER,0,10,2,45.76883763790828,49.25096731605116,2,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,HYDRO,0,16,4,29.17784859282457,28.091126483997307,1,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,COOK_STV,0,26,2,34.60571705348438,34.586960370923165,1,N/A
NIC,N/A,12.6090157,-85.2936911,RENEW_ENERGY,SOLAR,0,17,1,28.313392138726407,26.769585500444133,2,N/A
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,WATER,0,13,1,22.961624755687435,20.52760879878678,1,N/A
IND,N/A,22.3511148,78.6677428,RENEW_ENERGY,HYDRO,0,12,3,23.612182256916505,20.149149648714673,1,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,WATER,0,17,1,32.61295240634821,31.087227329868416,1,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,SOLAR,0,11,4,28.136728347137495,29.437431923326418,2,N/A
MOZ,N/A,-19.302233,34.9144977,RENEW_ENERGY,WIND,0,16,1,26.27438152044155,25.943224323992006,0,N/A
BGR,N/A,42.6073975,25.4856617,WASTE_MGMT,EMM_RED,0,13,3,15.881001868558482,17.530903635943282,1,N/A
KHM,N/A,12.5433216,104.8144914,COMM_ENRGY_EFF,COOK_STV,0,14,1,25.59195265357674,19.444137695742,1,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,BIOGAS,0,19,2,45.47489996403426,46.375464251240345,2,N/A
RWA,N/A,-1.9646631,30.0644358,RENEW_ENERGY,HYDRO,0,11,3,27.113820389273986,28.602030457147325,1,N/A
IDN,N/A,-2.4833826,117.8902853,FOREST_CONSERV,AGG_LAND_MGMT,0,14,1,30.774805847253745,29.84635337036531,0,N/A
MMR,N/A,17.1750495,95.9999652,RENEW_ENERGY,WIND,0,13,2,25.351465736400083,29.01491186189247,0,N/A
GTM,N/A,15.5855545,-90.345759,RENEW_ENERGY,HYDRO,0,17,1,26.814589691269102,23.837271033458414,1,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,COOK_STV,0,10,2,40.79285160059837,41.12457916911219,0,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,WATER,0,10,3,47.476447597901554,48.41229793347882,0,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,SOLAR,0,15,2,24.687472360262646,25.093350043574063,1,N/A
KHM,N/A,12.5433216,104.8144914,COMM_ENRGY_EFF,BIOGAS,0,13,2,23.46313859548046,22.79390554808126,1,N/A
FRA,N/A,46.603354,1.8883335,FOREST_CONSERV,AGG_LAND_MGMT,0,17,3,35.74359277185119,41.234338774857946,1,N/A
RWA,N/A,-1.9646631,30.0644358,WASTE_MGMT,EMM_RED,0,15,2,19.473109520971477,18.947640677635384,1,N/A
NIC,N/A,12.6090157,-85.2936911,WASTE_MGMT,EMM_RED,0,15,1,17.585239828111696,18.120582271955332,0,N/A
HND,N/A,15.2572432,-86.0755145,COMM_ENRGY_EFF,BIOGAS,0,12,1,22.860651514994217,28.9539512232739,2,N/A
BGR,N/A,42.6073975,25.4856617,RENEW_ENERGY,SOLAR,0,14,4,25.35676052440564,21.944474265630046,2,N/A
IDN,N/A,-2.4833826,117.8902853,RENEW_ENERGY,WIND,0,16,1,22.493094322717955,22.481967662689893,1,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,WATER,0,16,4,23.715958598840764,20.011600841826677,1,N/A
HND,N/A,15.2572432,-86.0755145,RENEW_ENERGY,WIND,0,8,2,24.647886187909926,24.854599824130567,2,N/A
GBR,N/A,54.7023545,-3.2765753,FOREST_CONSERV,AGG_LAND_MGMT,0,15,2,30.91833539111078,31.51911210278191,2,N/A
MOZ,N/A,-19.302233,34.9144977,FOREST_CONSERV,AGG_LAND_MGMT,0,10,1,32.98942822986747,33.84556765062727,0,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,COOK_STV,0,15,1,24.651816724560163,21.559017747723136,4,N/A
NIC,N/A,12.6090157,-85.2936911,RENEW_ENERGY,SOLAR,0,22,2,27.23441442753782,25.018909103115973,0,N/A
KHM,N/A,12.5433216,104.8144914,RENEW_ENERGY,SOLAR,0,18,1,23.39217684619511,20.8648468829714,2,N/A
IDN,N/A,-2.4833826,117.8902853,RENEW_ENERGY,WIND,0,8,4,23.1634968596115,26.365318746727745,0,N/A
KHM,N/A,12.5433216,104.8144914,RENEW_ENERGY,HYDRO,0,18,1,22.726675416972913,23.161055645051547,0,N/A
KHM,N/A,12.5433216,104.8144914,COMM_ENRGY_EFF,COOK_STV,0,19,4,24.87028073145771,27.451783879111023,1,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,SOLAR,0,17,1,26.74817556751747,25.266963492356165,1,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,COOK_STV,0,11,3,42.65149930514114,37.7418184457475,2,N/A
ETH,N/A,10.2116702,38.6521203,COMM_ENRGY_EFF,COOK_STV,0,15,2,35.419407168947025,36.41474720659451,1,N/A
GBR,N/A,54.7023545,-3.2765753,COMM_ENRGY_EFF,BIOGAS,0,14,1,31.557703132844846,28.816207377423517,0,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,WATER,0,13,4,44.895228583624146,44.752928095387,1,N/A
HND,N/A,15.2572432,-86.0755145,RENEW_ENERGY,HYDRO,0,11,1,21.81434939962955,19.973903349671662,1,N/A
IND,N/A,22.3511148,78.6677428,RENEW_ENERGY,WIND,0,12,2,23.859994403168205,23.4545812591201,0,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,BIOGAS,0,6,1,32.59195365838567,32.32628431198007,0,N/A
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,WATER,0,15,3,23.84669402993222,22.298094945381038,2,N/A
IDN,N/A,-2.4833826,117.8902853,COMM_ENRGY_EFF,COOK_STV,0,17,1,25.495074952436465,27.67914689529998,3,N/A
ETH,N/A,10.2116702,38.6521203,WASTE_MGMT,EMM_RED,0,17,1,19.646394107736835,22.298037748809524,1,N/A
USA,N/A,39.7837304,-100.445882,RENEW_ENERGY,HYDRO,0,18,1,26.61552116202407,26.917741545407893,2,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,13,1,24.066450220130612,24.001038535250395,0,N/A
IDN,N/A,-2.4833826,117.8902853,WASTE_MGMT,EMM_RED,0,15,2,20.851185856931117,21.486928880974574,2,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,WATER,0,24,3,46.8046055985623,46.35290187994885,2,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,HYDRO,0,14,1,29.419233349654032,28.924267925768742,0,N/A
BGR,N/A,42.6073975,25.4856617,RENEW_ENERGY,WIND,0,8,2,27.733836276490944,27.530226903878926,0,N/A
USA,N/A,39.7837304,-100.445882,RENEW_ENERGY,WIND,0,14,2,28.22183313755774,28.368544934686273,0,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,BIOGAS,0,10,1,44.60112925588387,42.55836330852618,1,N/A
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,BIOGAS,0,8,4,26.71509937442283,23.62608742074136,0,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,COOK_STV,0,16,2,49.40301410142357,45.025978774952726,0,N/A
ETH,N/A,10.2116702,38.6521203,RENEW_ENERGY,WIND,0,13,2,26.62591189737414,25.522316334540605,0,N/A
GBR,N/A,54.7023545,-3.2765753,WASTE_MGMT,EMM_RED,0,11,2,20.65628731873633,21.676280285402942,1,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,19,1,29.646111097479636,30.668225868440338,0,N/A
NIC,N/A,12.6090157,-85.2936911,RENEW_ENERGY,HYDRO,0,14,3,27.42146444122259,28.492091313520945,0,N/A
FRA,N/A,46.603354,1.8883335,COMM_ENRGY_EFF,BIOGAS,0,17,2,34.66421198800301,34.592143707689836,0,N/A
ETH,N/A,10.2116702,38.6521203,RENEW_ENERGY,HYDRO,0,11,1,29.084645990206372,29.070866726744928,1,N/A
GBR,N/A,54.7023545,-3.2765753,COMM_ENRGY_EFF,COOK_STV,0,19,3,36.33329208460868,35.8988615072352,4,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,SOLAR,0,18,3,27.48001865408584,29.986400651886125,3,N/A
RWA,N/A,-1.9646631,30.0644358,WASTE_MGMT,EMM_RED,0,12,1,20.84699745486544,21.26066905900666,0,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,WATER,0,14,1,41.53324993143428,42.52851198565431,0,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,16,4,24.472507969773723,28.003418818722768,0,N/A
HND,N/A,15.2572432,-86.0755145,COMM_ENRGY_EFF,WATER,0,12,2,22.148721948372412,20.931195963534737,4,N/A
IDN,N/A,-2.4833826,117.8902853,RENEW_ENERGY,HYDRO,0,16,1,21.65125066305315,22.548056902014107,1,N/A
USA,N/A,39.7837304,-100.445882,WASTE_MGMT,EMM_RED,0,13,2,17.11170812303282,15.181128111465801,0,N/A
MMR,N/A,17.1750495,95.9999652,WASTE_MGMT,EMM_RED,0,11,2,21.416920068631953,20.75540521439724,0,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,WATER,0,8,3,43.53763312834568,46.29750448924267,1,N/A
MMR,N/A,17.1750495,95.9999652,RENEW_ENERGY,HYDRO,0,10,4,28.397278590346765,27.953186551605718,3,N/A
USA,N/A,39.7837304,-100.445882,COMM_ENRGY_EFF,BIOGAS,0,16,1,42.6142507701218,41.510814514753925,1,N/A
FRA,N/A,46.603354,1.8883335,RENEW_ENERGY,WIND,0,21,2,22.762725837829247,21.213054905333795,1,N/A
PER,N/A,-6.8699697,-75.0458515,RENEW_ENERGY,HYDRO,0,11,2,26.649421895658,23.140337552070797,1,N/A
RWA,N/A,-1.9646631,30.0644358,COMM_ENRGY_EFF,BIOGAS,0,17,3,42.64712269866763,40.02501262588306,1,N/A
PER,N/A,-6.8699697,-75.0458515,COMM_ENRGY_EFF,BIOGAS,0,10,2,47.82321003776424,45.18993346354482,0,N/A
NIC,N/A,12.6090157,-85.2936911,WASTE_MGMT,EMM_RED,0,19,3,17.68202214257725,17.560350141921212,0,N/A
BGR,N/A,42.6073975,25.4856617,COMM_ENRGY_EFF,COOK_STV,0,16,1,36.409990372792926,37.254245227975275,1,N/A
GIN,N/A,10.7226226,-10.7083587,COMM_ENRGY_EFF,COOK_STV,0,17,3,38.23693971008653,36.04482445451479,0,N/A
NIC,N/A,12.6090157,-85.2936911,COMM_ENRGY_EFF,BIOGAS,0,16,2,44.01087879551635,45.5901397434911,1,N/A
NIC,N/A,12.6090157,-85.2936911,WASTE_MGMT,EMM_RED,0,11,2,25.181956061577633,26.6481007187011,2,N/A
