country,first_subdivision,latitude,longitude,project_category,project_type,vintage_year,nft_age,num_owners,avg_price,last_price,num_price_chg,nft_state
GTM,N/A,15.5855545,-90.345759,COMM_ENRGY_EFF,WATER,0,13,2,15.1823259040614,10.9795862355616,0,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,BIOGAS,0,10,1,-123456789,-123456789,0,N/A
GIN,N/A,10.7226226,-10.7083587,WASTE_MGMT,EMM_RED,0,14,2,6.90635973005365,8.05642426603046,1,N/A
GIN,N/A,10.7226226,-10.7083587,WASTE_MGMT,EMM_RED,0,18,2,9.92849607058613,8.70248874609024,2,N/A
GBR,N/A,54.7023545,-3.2765753,WASTE_MGMT,EMM_RED,0,13,3,12.3733982787623,11.785006602949,0,N/A
GIN,N/A,10.7226226,-10.7083587,WASTE_MGMT,EMM_RED,0,13,1,-123456789,-123456789,0,N/A
GTM,N/A,15.5855545,-90.345759,RENEW_ENERGY,SOLAR,0,17,2,16.4194280396071,14.0278540427558,3,N/A
KEN,N/A,1.4419683,38.4313975,RENEW_ENERGY,HYDRO,0,15,1,-123456789,-123456789,0,N/A
KEN,N/A,1.4419683,38.4313975,FOREST_CONSERV,AGG_LAND_MGMT,0,16,3,19.8549691224984,18.1182664432772,1,N/A
MMR,N/A,17.1750495,95.9999652,COMM_ENRGY_EFF,COOK_STV,0,15,1,-123456789,-123456789,0,N/A
USA,N/A,39.7837304,-100.445882,RENEW_ENERGY,HYDRO,0,21,1,-123456789,-123456789,0,N/A
KEN,N/A,1.4419683,38.4313975,COMM_ENRGY_EFF,WATER,0,15,1,-123456789,-123456789,0,N/A
KHM,N/A,12.5433216,104.8144914,RENEW_ENERGY,SOLAR,0,24,3,15.7058439598319,22.6348165071627,2,N/A
MOZ,N/A,-19.302233,34.9144977,COMM_ENRGY_EFF,WATER,0,12,2,36.8756454013717,38.1325268316054,2,N/A
USA,N/A,39.7837304,-100.445882,RENEW_ENERGY,WIND,0,25,5,17.6637693220445,14.8337372503029,1,N/A
NIC,N/A,12.6090157,-85.2936911,FOREST_CONSERV,AGG_LAND_MGMT,0,15,1,24.013070880024,23.9007143983666,2,N/A
